,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
1097751,1097751,1231281557,-8,mm/memory.c,2,1,1252
1097796,1097796,1231281535,-8,mm/memory.c,1,1,13821
1100302,1100302,1228403193,-5,mm/memory.c,2,2,1107
1106859,1106859,1229723249,-8,mm/memory.c,2,45,15649
1106863,1106863,1229723248,-8,mm/memory.c,0,43,15649
1106865,1106865,1229723247,-8,mm/memory.c,14,17,15649
1107152,1107152,1229629289,-8,mm/memory.c,74,1,15649
1107154,1107154,1229629288,-8,mm/memory.c,43,0,15649
1107156,1107156,1229629287,-8,mm/memory.c,3,4,15649
1122843,1122843,1224542613,8,mm/memory.c,0,2,13158
1123171,1123171,1224386890,-7,mm/memory.c,11,14,11354
1123176,1123176,1224386888,-7,mm/memory.c,6,5,11354
1123314,1123314,1224386816,-7,mm/memory.c,1,1,11107
1123316,1123316,1224386816,-7,mm/memory.c,2,12,11107
1123330,1123330,1224386812,-7,mm/memory.c,10,8,11107
1123351,1123351,1224386804,-7,mm/memory.c,48,8,13821
1123415,1123415,1224386792,-7,mm/memory.c,3,3,2413
1123426,1123426,1224386790,-7,mm/memory.c,3,0,2413
1137972,1137972,1221046637,2,mm/memory.c,15,0,13821
